ProductCode,ProductDesc,Date,Qty
1000,A1,1/1/2024,12000
1000,A1,1/2/2024,12000
1000,A1,1/3/2024,12000
1000,A1,1/4/2024,12000
1000,A1,1/5/2024,12000
1000,A1,1/6/2024,12000
1000,A1,1/7/2024,12000
1000,A1,1/8/2024,12000
1000,A1,1/9/2024,12000
1000,A1,1/10/2024,12000
1000,A1,1/11/2024,12000
1000,A1,1/12/2024,12000
1000,A1,1/13/2024,12000
1000,A1,1/14/2024,12000
1000,A1,1/15/2024,12000
1000,A1,1/16/2024,12000
1000,A1,1/17/2024,12000
1000,A1,1/18/2024,12000
1000,A1,1/19/2024,12000
1000,A1,1/20/2024,12000
1000,A1,1/21/2024,12000
1000,A1,1/22/2024,12000
1000,A1,1/23/2024,12000
1000,A1,1/24/2024,12000
1000,A1,1/25/2024,12000
1000,A1,1/26/2024,12000
1000,A1,1/27/2024,12000
1000,A1,1/28/2024,12000
1000,A1,1/29/2024,12000
1000,A1,1/30/2024,12000
1000,A1,1/31/2024,12000
1000,A1,2/1/2024,12000
1000,A1,2/2/2024,12000
1000,A1,2/3/2024,12000
1000,A1,2/4/2024,12000
1000,A1,2/5/2024,12000
1000,A1,2/6/2024,12000
1000,A1,2/7/2024,12000
1000,A1,2/8/2024,12000
1000,A1,2/9/2024,12000
1000,A1,2/10/2024,12000
1000,A1,2/11/2024,12000
1000,A1,2/12/2024,12000
1000,A1,2/13/2024,12000
1000,A1,2/14/2024,12000
1000,A1,2/15/2024,12000
1000,A1,2/16/2024,12000
1000,A1,2/17/2024,12000
1000,A1,2/18/2024,12000
1000,A1,2/19/2024,12000
1000,A1,2/20/2024,12000
1000,A1,2/21/2024,12000
1000,A1,2/22/2024,12000
1000,A1,2/23/2024,12000
1000,A1,2/24/2024,12000
1000,A1,2/25/2024,12000
1000,A1,2/26/2024,12000
1000,A1,2/27/2024,12000
1000,A1,2/28/2024,12000
